img,desc,source,weight
https://photolib.noaa.gov/Portals/0//GravityImages/4363/ProportionalFixedWidth/figb033252562x800x800.jpg,"Plate 73. The Alaska Sculpin. Cottus polyacanthocephalus, Pallas. TheSouthern Sculpin. Cottus octodecimspinosus, Mitch. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4364/ProportionalFixedWidth/figb033352562x800x800.jpg,"Plate 74A. The Sea Raven. Hemitripterus americanus, Gmelin. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4365/ProportionalFixedWidth/figb033452562x800x800.jpg,"Plate 74B. Jordan's Cabezon. Hemilepidotus Jordani, Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4366/ProportionalFixedWidth/figb033552562x800x800.jpg,"Plate 75. The Rose-Fish or Norway Haddock. Sebastes marinus (L.), Lutken. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4367/ProportionalFixedWidth/figb033652562x800x800.jpg,"Plate 76. The Black-Banded Rockfish. Sebastichthys nigrocinctus (Ayres), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4368/ProportionalFixedWidth/figb033752562x800x800.jpg,"Plate 77. The Tree-Fish. Sebastichthys serriceps, J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4369/ProportionalFixedWidth/figb033852562x800x800.jpg,"Plate 78. The Yellow-backed Rockfish. Sebastichthys maliger, J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4370/ProportionalFixedWidth/figb033952562x800x800.jpg,"Plate 79. The Corsair. Sebastichthys rosaceus (Grd.), Lock. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4371/ProportionalFixedWidth/figb034052562x800x800.jpg,"Plate 80. The Orange Rockfish. Sebastichthys pinniger (Gill), Lock. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4372/ProportionalFixedWidth/figb034199580x800x800.jpg,"Plate 81. The Black Rockfish. Sebastichthys mystinus, J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4373/ProportionalFixedWidth/figb034299580x800x800.jpg,"Plate 82. The Spotted Black Rockfish. Sebastichthys melanops (Grd.), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4374/ProportionalFixedWidth/figb034399580x800x800.jpg,"Plate 83. The Black Cod, Black Candle-Fish, or Beshow. Anoplopomafimbria (Pallas), Gill. The Atka Mackerel or Yellow-Fish. Pleurogrammusmonopterygius (Pallas), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4375/ProportionalFixedWidth/figb034499580x800x800.jpg,"Plate 84. Steller's Rock-Trout. Hexagrammus asper, Steller. The Cultus Cod.Ophiodon elongatus, Girard. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4376/ProportionalFixedWidth/figb034599580x800x800.jpg,"Plate 85. The Tautog. Tautoga onitis (L.), Gthr. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4377/ProportionalFixedWidth/figb034699580x800x800.jpg,"Plate 86. The Chogset or Cunner. Ctenolabrus adspersus (Walb.), Goode. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4378/ProportionalFixedWidth/figb034799580x800x800.jpg,"Plate 87. The Fat-Head or Redfish. Trochocopus pulcher (Ayres), Garman. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4379/ProportionalFixedWidth/figb034899580x800x800.jpg,"Plate 88. The Hog-Fish or Capitaine. Lachnolaemus falcaus (L.), C. & V. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4380/ProportionalFixedWidth/figb034956598x800x800.jpg,"Plate 89. The Alfione. Rachochilus toxotes, Agassiz. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4381/ProportionalFixedWidth/figb035056598x800x800.jpg,"Plate 90. The Spanish Pompano. Gerres olisthostoma, Goode and Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4382/ProportionalFixedWidth/figb035156598x800x800.jpg,"Plate 91. The Mackerel. Scomber scombrus, L. The Chub Mackerel or Thimble-Eye. Scomber pneumatopliorus, De La Roche. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4383/ProportionalFixedWidth/figb035256598x800x800.jpg,"Plate 92. The Frigate Mackerel. Auxis thazard, Lacepede. The Bonito. Sardamediterranea (Schn.), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4384/ProportionalFixedWidth/figb035356598x800x800.jpg,"Plate 93. The Spanish Mackerel. Scomberomorus maculatus (Mitch.), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4385/ProportionalFixedWidth/figb035456598x800x800.jpg,"Plate 94. The Cero or Kingfish. Scomberomorus caballa (C. & V.), J. & G. TheSpotted Cero. Scomberomorus regalis (Bloch), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4386/ProportionalFixedWidth/figb035556598x800x800.jpg,"Plate 95A. The Alalonga or Long-Finned Tunny. Orcynus alalonga (Gmel.), Risso. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4387/ProportionalFixedWidth/figb035656598x800x800.jpg,"Plate 95B. The Striped or Oceanic Bonito. Euthynnus pelamys (L.), Lutken. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4388/ProportionalFixedWidth/figb035713617x800x800.jpg,"Plate 96. The Horse Mackerel or Tunny. Orcynnus thynnus (L.), Poey. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4389/ProportionalFixedWidth/figb035813617x800x800.jpg,"Plate 97. The Horse Fish or Blunt-nosed Shiner. Selene setipinnis (Mitch.),Lutken. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4390/ProportionalFixedWidth/figb035913617x800x800.jpg,"Plate 98. The Silver Moonfish or Look-down. Selene argentea, Lacepede. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4391/ProportionalFixedWidth/figb036013617x800x800.jpg,"Plate 99. The Cavally or Crevalle. Caranx hippos (L.), Gthr. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4392/ProportionalFixedWidth/figb036113617x800x800.jpg,"Plate 100. The Goggler or Goggle Eye. Caranx crumenopthalmus (Bloch), Lac. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4393/ProportionalFixedWidth/figb036213617x800x800.jpg,"Plate 101. The Jurel or Hard Tail. Caranx pisquetus, C. & V. (C. chrysos,Gthr.) ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4394/ProportionalFixedWidth/figb036313617x800x800.jpg,"Plate 102. The Round Robin or Cigar-Fish. Decapterus punctatus (Ag. ), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4395/ProportionalFixedWidth/figb036413617x800x800.jpg,"Plate 103. The Scad or Dutch Marse-Banker. Trachurus saurus, Raf. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4396/ProportionalFixedWidth/figb036560635x800x800.jpg,"Plate 104. The Common Pompano. Trachynotus carolinus (L.), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4397/ProportionalFixedWidth/figb036660635x800x800.jpg,"Plate 105. The Short Pompano. Trachynotus ovatus (L.), Gthr. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4398/ProportionalFixedWidth/figb036760635x800x800.jpg,"Plate 106. The Banner Pompano. Trachynotus glaucus, C. & V. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4399/ProportionalFixedWidth/figb036860635x800x800.jpg,"Plate 107. The Pilot-Fish. Naucrates ductor (L.), Raf. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4400/ProportionalFixedWidth/figb036960635x800x800.jpg,"Plate 108. The California Yellow-Tail or Amber-Fish. Seriola dorsalis, C. & V. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4401/ProportionalFixedWidth/figb037060635x800x800.jpg,Plate 109. The Dolphin. Coryphaena hippurus. ,"
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4402/ProportionalFixedWidth/figb037160635x800x800.jpg,"Plate 110. The Harvest-Fish. Stromateus alepidotus (L.), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4403/ProportionalFixedWidth/figb037260635x800x800.jpg,Plate 111. The Butter-Fish or Dollar-fish ,"
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4404/ProportionalFixedWidth/figb037317654x800x800.jpg,"Plate 112. The Pomfret. Brama Rayi (Bl.), Schn. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4405/ProportionalFixedWidth/figb037417654x800x800.jpg,"Plate 113. The Boar Fish. Zenopsis ocellatus (Storer), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4406/ProportionalFixedWidth/figb037517654x800x800.jpg,"Plate 114. The Cutlass-Fish. Trichiurus lepturus, L. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4407/ProportionalFixedWidth/figb037617654x800x800.jpg,"Plate 115. The Swordfish. Xiphias gladius, L. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4408/ProportionalFixedWidth/figb037717654x800x800.jpg,"Plate 116. The Sailfish. Histiophorus gladius (Brown), Gthr. The Spearfish.Tetrapturus albidis, Poey. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4409/ProportionalFixedWidth/figb037817654x800x800.jpg,"Plate 117. The Tile-Fish. Lopholatilus chameleonticeps, Goode & Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4410/ProportionalFixedWidth/figb037917654x800x800.jpg,"Plate 118. The Gulf Blanquillo. Caulolatilus microps, Goode & Bean. TheRonquil. Bathymaster signatus, Cope. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4411/ProportionalFixedWidth/figb038017654x800x800.jpg,"Plate 119. The Squirrel-Fish. Holocentrum pentacanthum (Bloch), Vaill andBocourt. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4412/ProportionalFixedWidth/figb038164672x800x800.jpg,"Plate 120. The Spotted Squeteague or Sea-Trout. Cynosciom maculatum, (Mitch.), Gill. The Common Squeteague. Cynosciom regale (Schn.), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4413/ProportionalFixedWidth/figb038264672x800x800.jpg,"Plate 121. The Drum. Pogonias chromis (L.), C. & V. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4414/ProportionalFixedWidth/figb038364672x800x800.jpg,"Plate 122. The Drum. (Adult.) Pogonias chromis (L.), C. & V. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4415/ProportionalFixedWidth/figb038464672x800x800.jpg,"Plate 123. The Freshwater Drum or Gaspergou. Halpoidonotus grunniens, Raf. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4416/ProportionalFixedWidth/figb038564672x800x800.jpg,"Plate 124. The Spot or Goody. Liostomus xanthurus, Lac. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4417/ProportionalFixedWidth/figb038664672x800x800.jpg,"Plate 125. The Red-Fish or Bass of the South. Scioena ocellata (L.), Gthr. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4418/ProportionalFixedWidth/figb038764672x800x800.jpg,"Plate 126. The Yellow-tail. Bairdiella Chrysura, Lac. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4419/ProportionalFixedWidth/figb038864672x800x800.jpg,"Plate 127A. The Kingfish or Sea Mink. Menticirrus nebulosus (Mitch.), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4420/ProportionalFixedWidth/figb038921690x800x800.jpg,"Plate 127B. The Carolina Whiting. Menticirrus alburnus (L.), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4421/ProportionalFixedWidth/figb039021690x800x800.jpg,"Plate 128. The Croaker. Micropogon undulatus (L.), C.&V.; ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4422/ProportionalFixedWidth/figb039121690x800x800.jpg,"Plate 129. The Roncador. Roncador Stearnsii (Steindachner), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4423/ProportionalFixedWidth/figb039221690x800x800.jpg,"Plate 130. The Sheep's Head. (Young.) Diplodus probatpcephalus (Walb.), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4424/ProportionalFixedWidth/figb039321690x800x800.jpg,"Plate 131. The Sheep's Head. (Adult.) Diplodus probatpcephalus (Walb.), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4425/ProportionalFixedWidth/figb039421690x800x800.jpg,"Plate 132.  The Charleston Bream or Pin-Fish. Diplodus Holbrookii, Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4426/ProportionalFixedWidth/figb039521690x800x800.jpg,"Plate 133. The Scuppaug, Scup, or Northern Porgy. Stenotomus chrysops (Mitch.), Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4427/ProportionalFixedWidth/figb039621690x800x800.jpg,"Plate 134. The Southern Scup. Stenotomus Gardenii, Bean. (S. aculeatus, ?) ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4428/ProportionalFixedWidth/figb039721690x800x800.jpg,"Plate 135. The Gulf Scup or Goat's Head Porgy. Stenotomus caprinus, Goode andBean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4429/ProportionalFixedWidth/figb039868708x800x800.jpg,"Plate 136. Milner's Pagellus. Pagellus Milneri, Goode and Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4430/ProportionalFixedWidth/figb039968708x800x800.jpg,"Plate 137. The Margate Fish, Bastard Snapper, or Charleston Porgy. Sparuspagrus, L. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4431/ProportionalFixedWidth/figb040068708x800x800.jpg,"Plate 138. The Sailor's Choice. Lagodon rhomboides (L.), Holbrook. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4432/ProportionalFixedWidth/figb040168708x800x800.jpg,"Plate 139. The Bermuda Chub. Cyphosus boscii (Lac.), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4433/ProportionalFixedWidth/figb040268708x800x800.jpg,"Plate 140. The Medialuna. Scorpis californiensis, Steindachner. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4434/ProportionalFixedWidth/figb040368708x800x800.jpg,"Plate 141. The Florida Red Snapper. Lutjanus Blackfordii, Goode and Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4435/ProportionalFixedWidth/figb040468708x800x800.jpg,"Plate 142. The Pensacola Snapper. Lutjanus Stearnsii, Goode and Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4436/ProportionalFixedWidth/figb040568708x800x800.jpg,"Plate 143. The Mangrove Snapper. Rhomboplites aurorubens (C. & V.), Vaillant. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4437/ProportionalFixedWidth/figb040625727x800x800.jpg,"Plate 144. The Black Grunt. Haemulon plumieri (Lac.), J. & G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4438/ProportionalFixedWidth/figb040725727x800x800.jpg,Plate 145. The Striped Grunt. Haemulon elegans (C. & V.). ,"
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4439/ProportionalFixedWidth/figb040825727x800x800.jpg,"Plate 146. The Pigfish. Pomodasys fulvomaculatus (Mitch.), J. &. G. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4440/ProportionalFixedWidth/figb040925727x800x800.jpg,"Plate 147. The Big-Mouthed Black Bass, or Oswego Bass. Micropterus salmoides(Lac.), Henshall. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4441/ProportionalFixedWidth/figb041025727x800x800.jpg,"Plate 148. The Small-Mouth Black Bass. Micropterus Dolomiei, Lac. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4442/ProportionalFixedWidth/figb041125727x800x800.jpg,"Plate 149. The Rock-Bass or Red Eye. Ambloplites rupestris (Raf.), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4443/ProportionalFixedWidth/figb041225727x800x800.jpg,"Plate 150. The Mud-Bass. Acantharcus pomotis (Baird), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4444/ProportionalFixedWidth/figb041325727x800x800.jpg,"Plate 151. The Sacramento Perch. Archoplites interruptus (Girard), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4445/ProportionalFixedWidth/figb041472745x800x800.jpg,"Plate 152. The War-Mouth Bass. Choenobryttus gulosus (C. & V.), Jordan. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4446/ProportionalFixedWidth/figb041572745x800x800.jpg,"Plate 153. The Pumpkin-Seed or Sunfish. Lepomis gibbosus (L.), McKay. ","
NOAA Photo Library",3
