desc,source,img
Deckhands unloading fish at Prince Rupert. [190-],Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/0/c/0c8a2b11bb4f4d378cbd3603a896d042e0452583db69c25bf9b5769e2120a09e/i-67924_141.jpg
B.W.Brown Fish Processing Plant Victoria 1947,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/2/0/207d7b72023ceeaf23dea6288dc74278c66ebbf9395b95b797f48b6c856f5d98/i-01602_141.jpg
B.W.Brown Fish Processing Plant Victoria 1947,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/6/f/6f5ebc41e8c635b524dc52d0d35ff2f12e3cca3e4e8ce25c90b4130f2125e800/i-01609_141.jpg
[Fish - Salmon] ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/d/5/e/d5ec2e221bb3c1673b503c2b485e157f8af8fd21dcd4b57e5ae4351659f5288f/PDP05319_141.jpg
Lobby Of Wardner Fish Hatchery 1966,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/5/5/1/551809a485bcacd44a61c08a545f73148a067bc444d7933c2ad8373837211355/i-07977_141.jpg
Lobby Of Wardner Fish Hatchery 1966,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/4/f/4/4f4ec404e7c092a23859daadc3db3a27656027605c62c3c29bb8eb9ef06e3d63/i-07978_141.jpg
"Fish Ladders At Hell's Gate, Fraser Canyon. 1966",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/3/5/a/35a1d1a52626ca4c30ec3e33962cf2c92ec21f8bf019b78a89fc8f918f751ec3/i-08575_141.jpg
"Smoking Salmon, Mount Currie. 1979",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/a/c/7/ac7ebe1700b077aea2cdb121410cae668eaa1e87ae194d09c8337ff144e377ae/i-15897_141.jpg
"Smoking Salmon, Mount Currie 1979",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/a/e/9/ae92653f0635144df8b4c491b084fa499a8b67777347a3e640ce8215a37d3561/i-15899_141.jpg
"Fish Boats, Queen Charlotte City  Queen Charlotte Islands 1981",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/d/6/9/d69aaa42030d2940a94345146f483e8d15707b96c6add0469ca33c0c0de25893/i-15727_141.jpg
"Fish Boats, Prince Rupert 1974",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/4/f/c/4fc1a2a95f1db869183b5e2ee442a284cf0c3f1e374af4d0edbd7f4b2f17a1d1/i-15469_141.jpg
"Fish Boats Unloading Herring, Port Edward 1974",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/1/2/3/123164b936de920ab061fc5afaf9100a07642c5afd934defc528742f39ffa42c/i-15475_141.jpg
"Fish Boats, Prince Rupert 1968",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/2/6/a/26acf2cc0bcfdc93743ed7e0eb2fe3dbf5a26c2a92ba59619a7fed6c5c1099c2/i-15558_141.jpg
"Fish Boats, Port Edward 1976",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/a/4/d/a4d0f8d82728c23a9a8c2c9ca4a998af0a82f1225b329c9d692cea9a0062e5c6/i-15572_141.jpg
Fish Boats At Old Masset Queen Charlotte Islands 1963,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/9/e/2/9e2b035a0ea0182b0fa4b2ef748e450781342493d567c767cd1e0f2b9584ca10/i-15171_141.jpg
