"img","source","desc"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0385.jpeg","Zoologica Vol. II (1915-1924)","A contribution to the life history of the puffer"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0386.jpeg","Zoologica Vol. II (1915-1924)","A contribution to the life history of the puffer"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0387.jpeg","Zoologica Vol. II (1915-1924)","A contribution to the life history of the puffer"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0388.jpeg","Zoologica Vol. II (1915-1924)","A contribution to the life history of the puffer"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0389.jpeg","Zoologica Vol. II (1915-1924)","A contribution to the life history of the puffer"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0406.jpeg","Zoologica Vol. II (1915-1924)","Hermaphodism of a croaker"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0435.jpeg","Zoologica Vol. II (1915-1924)","The food of certain minnows"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0436.jpeg","Zoologica Vol. II (1915-1924)","The food of certain minnows"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0446.jpeg","Zoologica Vol. II (1915-1924)","The food of certain minnows"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0447.jpeg","Zoologica Vol. II (1915-1924)","The food of certain minnows"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/02/zoologicascienti2191523newy_0522.jpeg","Zoologica Vol. II (1915-1924)","The whitefishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0183.jpeg","Zoologica Vol. IV (1923-1926)","Panama fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0206.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0216.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0226.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0227.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0230.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0231.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0233.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0236.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0238.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0242.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0244.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0247.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0256.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0266.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0270.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0272.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0279.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0281.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0297.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0298.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/04/zoologicasc4519231926newy_0304.jpeg","Zoologica Vol. IV (1923-1926)","The locomotion of fishes"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/05/zoologicasc4519231926newy_0494.jpeg","Zoologica Vol. V (1923-1926)","Brachyuran crabs collected by the Williams Galapagos Expedition, 1923"
